pri-miRNA	disease	regulation
hsa-mir-345	Carcinoma, Hepatocellular	-1
hsa-mir-346	Carcinoma, Hepatocellular	-1
hsa-mir-34a	Carcinoma, Hepatocellular	-1
hsa-mir-361	Carcinoma, Hepatocellular	-1
hsa-mir-365a	Carcinoma, Hepatocellular	-1
hsa-mir-365b	Carcinoma, Hepatocellular	-1
hsa-mir-370	Carcinoma, Hepatocellular	-1
hsa-mir-371	Carcinoma, Hepatocellular	-1
hsa-mir-373	Carcinoma, Hepatocellular	-1
hsa-mir-378a	Carcinoma, Hepatocellular	-1
hsa-mir-381	Carcinoma, Hepatocellular	-1
hsa-mir-409	Carcinoma, Hepatocellular	-1
hsa-mir-423	Carcinoma, Hepatocellular	-1
hsa-mir-424	Carcinoma, Hepatocellular	-1
hsa-mir-431	Carcinoma, Hepatocellular	-1
hsa-mir-433	Carcinoma, Hepatocellular	-1
hsa-mir-448	Carcinoma, Hepatocellular	-1
hsa-mir-483	Carcinoma, Hepatocellular	-1
hsa-mir-483	Carcinoma, Hepatocellular	-1
hsa-mir-483	Carcinoma, Hepatocellular	-1
hsa-mir-484	Carcinoma, Hepatocellular	-1
hsa-mir-485	Carcinoma, Hepatocellular	-1
hsa-mir-486	Carcinoma, Hepatocellular	-1
hsa-mir-486	Carcinoma, Hepatocellular	-1
hsa-mir-489	Carcinoma, Hepatocellular	-1
hsa-mir-490	Carcinoma, Hepatocellular	-1
hsa-mir-492	Carcinoma, Hepatocellular	-1
hsa-mir-497	Carcinoma, Hepatocellular	-1
hsa-mir-498	Carcinoma, Hepatocellular	-1
hsa-mir-500a	Carcinoma, Hepatocellular	-1
hsa-mir-500b	Carcinoma, Hepatocellular	-1
hsa-mir-503	Carcinoma, Hepatocellular	-1
hsa-mir-511	Carcinoma, Hepatocellular	-1
hsa-mir-518b	Carcinoma, Hepatocellular	-1
hsa-mir-520d	Carcinoma, Hepatocellular	-1
hsa-mir-520e	Carcinoma, Hepatocellular	-1
hsa-mir-526a	Carcinoma, Hepatocellular	-1
hsa-mir-526a	Carcinoma, Hepatocellular	-1
hsa-mir-526b	Carcinoma, Hepatocellular	-1
hsa-mir-527	Carcinoma, Hepatocellular	-1
hsa-mir-542	Carcinoma, Hepatocellular	-1
hsa-mir-557	Carcinoma, Hepatocellular	-1
hsa-mir-581	Carcinoma, Hepatocellular	-1
hsa-mir-592	Carcinoma, Hepatocellular	-1
hsa-mir-608	Carcinoma, Hepatocellular	-1
hsa-mir-610	Carcinoma, Hepatocellular	-1
hsa-mir-625	Carcinoma, Hepatocellular	-1
hsa-mir-629	Carcinoma, Hepatocellular	-1
hsa-mir-650	Carcinoma, Hepatocellular	-1
hsa-mir-655	Carcinoma, Hepatocellular	-1
hsa-mir-694	Carcinoma, Hepatocellular	-1
hsa-mir-708	Carcinoma, Hepatocellular	-1
hsa-mir-708	Carcinoma, Hepatocellular	-1
hsa-mir-744	Carcinoma, Hepatocellular	-1
hsa-mir-765	Carcinoma, Hepatocellular	-1
hsa-mir-92a	Carcinoma, Hepatocellular	-1
hsa-mir-92a	Carcinoma, Hepatocellular	-1
hsa-mir-92b	Carcinoma, Hepatocellular	-1
hsa-mir-93	Carcinoma, Hepatocellular	-1
hsa-mir-942	Carcinoma, Hepatocellular	-1
hsa-mir-96	Carcinoma, Hepatocellular	-1
hsa-mir-96	Carcinoma, Hepatocellular	-1
hsa-mir-99a	Carcinoma, Hepatocellular	-1
hsa-mir-99b	Carcinoma, Hepatocellular	-1
hsa-mir-1290	Laryngeal Neoplasms	-1
hsa-mir-519b	Laryngeal Neoplasms	-1
hsa-mir-200b	Lung Neoplasms	-1
hsa-let-7e	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-10a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-125a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-126	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-133a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-141	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-200a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-200b	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-26a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-26b	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-29b	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-429	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-451	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-486	Carcinoma, Non-Small-Cell Lung	-1
hsa-let-7a	Carcinoma, Non-Small-Cell Lung	-1
hsa-let-7a	Carcinoma, Non-Small-Cell Lung	-1
hsa-let-7a	Carcinoma, Non-Small-Cell Lung	-1
hsa-let-7a	Carcinoma, Non-Small-Cell Lung	-1
hsa-let-7a	Carcinoma, Non-Small-Cell Lung	-1
hsa-let-7a	Carcinoma, Non-Small-Cell Lung	-1
hsa-let-7b	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-1	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-125a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-126	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-133a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-134	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-143	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-145	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-148b	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-150	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-151a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-151b	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-15a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-181a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-181b	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-187	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-205	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-21	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-221	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-29	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-30a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-30a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-32	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-345	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-3940	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-449a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-449b	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-451a	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-486	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-503	Carcinoma, Non-Small-Cell Lung	-1
hsa-mir-93	Carcinoma, Non-Small-Cell Lung	-1
hsa-let-7c	Small Cell Lung Carcinoma	-1
hsa-mir-100	Small Cell Lung Carcinoma	-1
hsa-mir-125b	Small Cell Lung Carcinoma	-1
hsa-mir-125b	Small Cell Lung Carcinoma	-1
hsa-mir-137	Small Cell Lung Carcinoma	-1
hsa-mir-143	Small Cell Lung Carcinoma	-1
hsa-mir-145	Small Cell Lung Carcinoma	-1
hsa-mir-199a	Small Cell Lung Carcinoma	-1
hsa-mir-199a	Small Cell Lung Carcinoma	-1
hsa-mir-21	Small Cell Lung Carcinoma	-1
hsa-mir-29b	Small Cell Lung Carcinoma	-1
hsa-mir-29b	Small Cell Lung Carcinoma	-1
hsa-mir-34a	Small Cell Lung Carcinoma	-1
hsa-mir-34a	Carcinoma, Merkel Cell	-1
hsa-let-7c	Carcinoma, Nasopharyngeal	-1
hsa-mir-199b	Carcinoma, Nasopharyngeal	-1
hsa-mir-203a	Carcinoma, Nasopharyngeal	-1
hsa-mir-21	Carcinoma, Nasopharyngeal	-1
hsa-mir-23a	Carcinoma, Nasopharyngeal	-1
hsa-mir-24	Carcinoma, Nasopharyngeal	-1
hsa-mir-372	Carcinoma, Nasopharyngeal	-1
hsa-mir-4324	Carcinoma, Nasopharyngeal	-1
hsa-mir-504	Carcinoma, Nasopharyngeal	-1
hsa-mir-211	Carcinoma, Ovarian	-1
hsa-mir-22	Carcinoma, Ovarian	-1
hsa-mir-29a	Carcinoma, Ovarian	-1
hsa-mir-630	Carcinoma, Ovarian	-1
hsa-mir-127	Carcinoma, Pancreatic	-1
hsa-mir-15a	Carcinoma, Pancreatic	-1
hsa-mir-16	Carcinoma, Pancreatic	-1
hsa-mir-149	Prostatic Neoplasms	-1
hsa-mir-185	Prostatic Neoplasms	-1
hsa-mir-125a	Rectal Neoplasms	-1
hsa-mir-133a	Rectal Neoplasms	-1
hsa-mir-135a	Rectal Neoplasms	-1
hsa-mir-135b	Rectal Neoplasms	-1
hsa-mir-139	Rectal Neoplasms	-1
hsa-mir-143	Rectal Neoplasms	-1
hsa-mir-145	Rectal Neoplasms	-1
hsa-mir-145	Rectal Neoplasms	-1
hsa-mir-30a	Rectal Neoplasms	-1
hsa-let-7b	Carcinoma, Renal Cell	-1
hsa-let-7c	Carcinoma, Renal Cell	-1
hsa-mir-1	Carcinoma, Renal Cell	-1
hsa-mir-106b	Carcinoma, Renal Cell	-1
hsa-mir-10b	Carcinoma, Renal Cell	-1
hsa-mir-126	Carcinoma, Renal Cell	-1
hsa-mir-133a	Carcinoma, Renal Cell	-1
hsa-mir-133b	Carcinoma, Renal Cell	-1
hsa-mir-141	Carcinoma, Renal Cell	-1
hsa-mir-141	Carcinoma, Renal Cell	-1
hsa-mir-143	Carcinoma, Renal Cell	-1
hsa-mir-145	Carcinoma, Renal Cell	-1
hsa-mir-149	Carcinoma, Renal Cell	-1
hsa-mir-192	Carcinoma, Renal Cell	-1
hsa-mir-194	Carcinoma, Renal Cell	-1
hsa-mir-195	Carcinoma, Renal Cell	-1
hsa-mir-199a	Carcinoma, Renal Cell	-1
hsa-mir-199a	Carcinoma, Renal Cell	-1
hsa-mir-200b	Carcinoma, Renal Cell	-1
hsa-mir-200c	Carcinoma, Renal Cell	-1
hsa-mir-200c	Carcinoma, Renal Cell	-1
hsa-mir-21	Carcinoma, Renal Cell	-1
hsa-mir-218	Carcinoma, Renal Cell	-1
hsa-mir-218	Carcinoma, Renal Cell	-1
hsa-mir-26a	Carcinoma, Renal Cell	-1
hsa-mir-26a	Carcinoma, Renal Cell	-1
hsa-mir-30c	Carcinoma, Renal Cell	-1
hsa-mir-335	Carcinoma, Renal Cell	-1
hsa-mir-363	Carcinoma, Renal Cell	-1
hsa-mir-429	Carcinoma, Renal Cell	-1
hsa-mir-510	Carcinoma, Renal Cell	-1
hsa-mir-514a	Carcinoma, Renal Cell	-1
hsa-mir-514a	Carcinoma, Renal Cell	-1
hsa-mir-514a	Carcinoma, Renal Cell	-1
hsa-mir-125b	Thyroid Carcinoma, Anaplastic	-1
hsa-mir-26a	Thyroid Carcinoma, Anaplastic	-1
hsa-mir-138	Carcinoma, Thyroid, Papillary	-1
hsa-mir-221	Carcinoma, Thyroid, Papillary	-1
hsa-mir-222	Carcinoma, Thyroid, Papillary	-1
hsa-mir-30c	Carcinoma, Thyroid, Papillary	-1
hsa-mir-7	Carcinoma, Thyroid, Papillary	-1
hsa-mir-1	Cardiomegaly	-1
hsa-mir-448	Cardiomyopathies	-1
hsa-let-7i	Cardiomyopathy, Dilated	-1
hsa-mir-126	Cardiomyopathy, Dilated	-1
hsa-mir-155	Cardiomyopathy, Dilated	-1
hsa-mir-150	Cardiomyopathy, Hypertrophic	-1
hsa-mir-181b	Cardiomyopathy, Hypertrophic	-1
hsa-mir-181b	Cardiomyopathy, Hypertrophic	-1
hsa-mir-1303	Cardiotoxicity	-1
hsa-mir-182	Cardiotoxicity	-1
hsa-mir-187	Cardiotoxicity	-1
hsa-mir-34a	Cardiotoxicity	-1
hsa-mir-34c	Cardiotoxicity	-1
hsa-mir-486	Cardiotoxicity	-1
hsa-mir-133a	Cardiovascular Diseases	-1
hsa-mir-487b	Cardiovascular Diseases	-1
hsa-let-7b	Hemangioma, Cavernous, Central Nervous System	-1
hsa-mir-181a	Hemangioma, Cavernous, Central Nervous System	-1
hsa-mir-361	Hemangioma, Cavernous, Central Nervous System	-1
hsa-mir-370	Hemangioma, Cavernous, Central Nervous System	-1
hsa-mir-95	Hemangioma, Cavernous, Central Nervous System	-1
hsa-mir-143	Uterine Cervical Neoplasms	-1
hsa-mir-143	Uterine Cervical Neoplasms	-1
hsa-mir-145	Uterine Cervical Neoplasms	-1
hsa-mir-34a	Uterine Cervical Neoplasms	-1
hsa-mir-34a	Uterine Cervical Neoplasms	-1
hsa-mir-373	Uterine Cervical Neoplasms	-1
hsa-mir-200a	Cholangiocarcinoma	-1
hsa-mir-494	Cholangiocarcinoma	-1
hsa-mir-200b	Chondrosarcoma	-1
hsa-mir-106a	Choriocarcinoma	-1
hsa-mir-155	Choriocarcinoma	-1
hsa-mir-196a	Choriocarcinoma	-1
hsa-mir-200b	Choriocarcinoma	-1
hsa-mir-34a	Choriocarcinoma	-1
hsa-mir-195	Heart Failure	-1
hsa-mir-26a	Heart Failure	-1
hsa-mir-26a	Heart Failure	-1
hsa-mir-30b	Heart Failure	-1
hsa-mir-106a	Hepatitis B, Chronic	-1
hsa-mir-130a	Hepatitis C, Chronic	-1
hsa-mir-192	Hepatitis C, Chronic	-1
hsa-mir-199a	Hepatitis C, Chronic	-1
hsa-mir-301	Hepatitis C, Chronic	-1
hsa-mir-30b	Hepatitis C, Chronic	-1
hsa-mir-30c	Hepatitis C, Chronic	-1
hsa-mir-324	Hepatitis C, Chronic	-1
hsa-mir-565	Hepatitis C, Chronic	-1
hsa-mir-133a	Kidney Failure, Chronic	-1
hsa-mir-143	Kidney Failure, Chronic	-1
hsa-mir-15	Kidney Failure, Chronic	-1
hsa-mir-17	Kidney Failure, Chronic	-1
hsa-mir-204	Kidney Failure, Chronic	-1
hsa-mir-100	Pulmonary Disease, Chronic Obstructive	-1
hsa-mir-20a	Pulmonary Disease, Chronic Obstructive	-1
hsa-mir-28	Pulmonary Disease, Chronic Obstructive	-1
hsa-mir-34c	Pulmonary Disease, Chronic Obstructive	-1
hsa-mir-7	Pulmonary Disease, Chronic Obstructive	-1
hsa-mir-7	Pulmonary Disease, Chronic Obstructive	-1
hsa-mir-7	Pulmonary Disease, Chronic Obstructive	-1
hsa-mir-429	Colitis	-1
hsa-mir-143	Colitis, Ulcerative	-1
hsa-mir-145	Colitis, Ulcerative	-1
hsa-mir-26b	Colitis, Ulcerative	-1
hsa-mir-1231	Colonic Neoplasms	-1
hsa-mir-126	Colonic Neoplasms	-1
hsa-mir-127	Colonic Neoplasms	-1
hsa-mir-133b	Colonic Neoplasms	-1
hsa-mir-142	Colonic Neoplasms	-1
hsa-mir-142	Colonic Neoplasms	-1
hsa-mir-146a	Colonic Neoplasms	-1
hsa-mir-152	Colonic Neoplasms	-1
hsa-mir-155	Colonic Neoplasms	-1
hsa-mir-17	Colonic Neoplasms	-1
hsa-mir-18	Colonic Neoplasms	-1
hsa-mir-1826	Colonic Neoplasms	-1
hsa-mir-191	Colonic Neoplasms	-1
hsa-mir-197	Colonic Neoplasms	-1
hsa-mir-19a	Colonic Neoplasms	-1
hsa-mir-19b	Colonic Neoplasms	-1
hsa-mir-200a	Colonic Neoplasms	-1
hsa-mir-200b	Colonic Neoplasms	-1
hsa-mir-200b	Colonic Neoplasms	-1
hsa-mir-200b	Colonic Neoplasms	-1
hsa-mir-200b	Colonic Neoplasms	-1
hsa-mir-205	Colonic Neoplasms	-1
hsa-mir-20a	Colonic Neoplasms	-1
hsa-mir-21	Colonic Neoplasms	-1
hsa-mir-222	Colonic Neoplasms	-1
hsa-mir-365a	Colonic Neoplasms	-1
hsa-mir-365a	Colonic Neoplasms	-1
hsa-mir-365b	Colonic Neoplasms	-1
hsa-mir-378	Colonic Neoplasms	-1
hsa-mir-449a	Colonic Neoplasms	-1
hsa-mir-486	Colonic Neoplasms	-1
hsa-mir-518c	Colonic Neoplasms	-1
hsa-mir-524	Colonic Neoplasms	-1
hsa-mir-552	Colonic Neoplasms	-1
hsa-mir-561	Colonic Neoplasms	-1
hsa-mir-584	Colonic Neoplasms	-1
hsa-mir-615	Colonic Neoplasms	-1
hsa-mir-622	Colonic Neoplasms	-1
hsa-mir-630	Colonic Neoplasms	-1
hsa-mir-886	Colonic Neoplasms	-1
hsa-mir-92	Colonic Neoplasms	-1
hsa-mir-92a	Colonic Neoplasms	-1
hsa-mir-93	Colonic Neoplasms	-1
hsa-mir-93	Colonic Neoplasms	-1
hsa-let-7a	Colorectal Adenocarcinoma	-1
hsa-let-7a	Colorectal Adenocarcinoma	-1
hsa-let-7a	Colorectal Adenocarcinoma	-1
hsa-mir-143	Colorectal Adenocarcinoma	-1
hsa-mir-145	Colorectal Adenocarcinoma	-1
hsa-mir-16	Colorectal Adenocarcinoma	-1
hsa-mir-16	Colorectal Adenocarcinoma	-1
hsa-mir-191	Colorectal Adenocarcinoma	-1
hsa-mir-192	Colorectal Adenocarcinoma	-1
hsa-mir-196a	Colorectal Adenocarcinoma	-1
hsa-mir-196a	Colorectal Adenocarcinoma	-1
hsa-mir-215	Colorectal Adenocarcinoma	-1
hsa-mir-26b	Colorectal Adenocarcinoma	-1
hsa-let-7a	Colorectal Neoplasms	-1
hsa-mir-100	Colorectal Neoplasms	-1
hsa-mir-100	Colorectal Neoplasms	-1
hsa-mir-124	Colorectal Neoplasms	-1
hsa-mir-125b	Colorectal Neoplasms	-1
hsa-mir-126	Colorectal Neoplasms	-1
hsa-mir-126	Colorectal Neoplasms	-1
hsa-mir-1295b	Colorectal Neoplasms	-1
hsa-mir-130b	Colorectal Neoplasms	-1
hsa-mir-133a	Colorectal Neoplasms	-1
hsa-mir-143	Colorectal Neoplasms	-1
hsa-mir-143	Colorectal Neoplasms	-1
hsa-mir-145	Colorectal Neoplasms	-1
hsa-mir-145	Colorectal Neoplasms	-1
hsa-mir-145	Colorectal Neoplasms	-1
hsa-mir-148a	Colorectal Neoplasms	-1
hsa-mir-193a	Colorectal Neoplasms	-1
hsa-mir-200a	Colorectal Neoplasms	-1
hsa-mir-203	Colorectal Neoplasms	-1
hsa-mir-20b	Colorectal Neoplasms	-1
hsa-mir-21	Colorectal Neoplasms	-1
hsa-mir-214	Colorectal Neoplasms	-1
hsa-mir-218	Colorectal Neoplasms	-1
hsa-mir-27b	Colorectal Neoplasms	-1
hsa-mir-29c	Colorectal Neoplasms	-1
hsa-mir-31	Colorectal Neoplasms	-1
hsa-mir-340	Colorectal Neoplasms	-1
hsa-mir-34a	Colorectal Neoplasms	-1
hsa-mir-375	Colorectal Neoplasms	-1
hsa-mir-422a	Colorectal Neoplasms	-1
hsa-mir-4478	Colorectal Neoplasms	-1
hsa-mir-452	Colorectal Neoplasms	-1
hsa-mir-490	Colorectal Neoplasms	-1
hsa-mir-498	Colorectal Neoplasms	-1
hsa-mir-625	Colorectal Neoplasms	-1
hsa-let-7e	Colorectal Neoplasms	-1
hsa-mir-106a	Colorectal Neoplasms	-1
hsa-mir-122	Colorectal Neoplasms	-1
hsa-mir-127	Colorectal Neoplasms	-1
hsa-mir-133b	Colorectal Neoplasms	-1
hsa-mir-141	Colorectal Neoplasms	-1
hsa-mir-143	Colorectal Neoplasms	-1
hsa-mir-143	Colorectal Neoplasms	-1
hsa-mir-143	Colorectal Neoplasms	-1
hsa-mir-143	Colorectal Neoplasms	-1
hsa-mir-145	Colorectal Neoplasms	-1
hsa-mir-145	Colorectal Neoplasms	-1
hsa-mir-145	Colorectal Neoplasms	-1
hsa-mir-146b	Colorectal Neoplasms	-1
hsa-mir-148a	Colorectal Neoplasms	-1
hsa-mir-154	Colorectal Neoplasms	-1
hsa-mir-16	Colorectal Neoplasms	-1
hsa-mir-17	Colorectal Neoplasms	-1
hsa-mir-181a	Colorectal Neoplasms	-1
hsa-mir-195	Colorectal Neoplasms	-1
hsa-mir-199a	Colorectal Neoplasms	-1
hsa-mir-199a	Colorectal Neoplasms	-1
hsa-mir-200c	Colorectal Neoplasms	-1
hsa-mir-206	Colorectal Neoplasms	-1
hsa-mir-21	Colorectal Neoplasms	-1
hsa-mir-215	Colorectal Neoplasms	-1
hsa-mir-22	Colorectal Neoplasms	-1
hsa-mir-224	Colorectal Neoplasms	-1
hsa-mir-34a	Colorectal Neoplasms	-1
hsa-mir-375	Colorectal Neoplasms	-1
hsa-mir-378a	Colorectal Neoplasms	-1
hsa-mir-422a	Colorectal Neoplasms	-1
hsa-mir-451	Colorectal Neoplasms	-1
hsa-mir-486	Colorectal Neoplasms	-1
hsa-mir-92a	Colorectal Neoplasms	-1
hsa-mir-92a	Colorectal Neoplasms	-1
hsa-mir-93	Colorectal Neoplasms	-1
hsa-mir-451	Constriction, Pathologic	-1
hsa-mir-181a	Coronary Artery Disease	-1
hsa-mir-147	Crohn Disease	-1
hsa-mir-19b	Crohn Disease	-1
hsa-mir-137	Cutaneous Melanoma	-1
hsa-mir-217	Cytomegalovirus Retinitis	-1
hsa-mir-130a	Diabetes Mellitus	-1
hsa-mir-146a	Diabetes Mellitus	-1
hsa-mir-200	Diabetes Mellitus, Type 1	-1
hsa-mir-21	Diabetes Mellitus, Type 2	-1
hsa-mir-23b	Diabetic Cardiomyopathies	-1
hsa-mir-200a	Diabetic Nephropathies	-1
hsa-mir-200b	Diabetic Nephropathies	-1
hsa-mir-200c	Diabetic Nephropathies	-1
hsa-mir-26a	Diabetic Nephropathies	-1
hsa-mir-29a	Diabetic Nephropathies	-1
hsa-mir-29b	Diabetic Nephropathies	-1
hsa-mir-29b	Diabetic Nephropathies	-1
hsa-mir-29c	Diabetic Nephropathies	-1
hsa-let-7a	Digestive System Neoplasms	-1
hsa-let-7a	Digestive System Neoplasms	-1
hsa-let-7a	Digestive System Neoplasms	-1
hsa-let-7b	Digestive System Neoplasms	-1
hsa-let-7c	Digestive System Neoplasms	-1
hsa-let-7d	Digestive System Neoplasms	-1
hsa-let-7e	Digestive System Neoplasms	-1
hsa-let-7f	Digestive System Neoplasms	-1
hsa-let-7f	Digestive System Neoplasms	-1
hsa-let-7g	Digestive System Neoplasms	-1
hsa-let-7i	Digestive System Neoplasms	-1
hsa-mir-196	Pregnancy, Ectopic	-1
hsa-mir-196b	Pregnancy, Ectopic	-1
hsa-mir-30a	Pregnancy, Ectopic	-1
hsa-mir-337	Pregnancy, Ectopic	-1
hsa-mir-873	Pregnancy, Ectopic	-1
hsa-mir-101	Endocrine Gland Neoplasms	-1
hsa-mir-126	Endocrine Gland Neoplasms	-1
hsa-mir-137	Endocrine Gland Neoplasms	-1
hsa-mir-195	Endocrine Gland Neoplasms	-1
hsa-mir-200a	Endocrine Gland Neoplasms	-1
hsa-mir-200b	Endocrine Gland Neoplasms	-1
hsa-mir-200c	Endocrine Gland Neoplasms	-1
hsa-mir-141	Endocrine Gland Neoplasms	-1
hsa-mir-429	Endocrine Gland Neoplasms	-1
hsa-mir-205	Endocrine Gland Neoplasms	-1
hsa-mir-206	Endocrine Gland Neoplasms	-1
hsa-mir-29a	Endocrine Gland Neoplasms	-1
hsa-mir-30a	Endocrine Gland Neoplasms	-1
hsa-mir-539	Endocrine Gland Neoplasms	-1
hsa-mir-613	Endocrine Gland Neoplasms	-1
hsa-mir-7	Endocrine Gland Neoplasms	-1
hsa-mir-9	Endocrine Gland Neoplasms	-1
hsa-mir-100	Endometrial Neoplasms	-1
hsa-mir-153	Endometrial Neoplasms	-1
hsa-mir-153	Endometrial Neoplasms	-1
hsa-mir-182	Endometrial Neoplasms	-1
hsa-mir-183	Endometrial Neoplasms	-1
hsa-mir-186	Endometrial Neoplasms	-1
hsa-mir-193b	Endometrial Neoplasms	-1
hsa-mir-27a	Endometrial Neoplasms	-1
hsa-mir-27b	Endometrial Neoplasms	-1
hsa-mir-29c	Endometrial Neoplasms	-1
hsa-mir-633	Endometrial Neoplasms	-1
hsa-mir-9	Endometrial Neoplasms	-1
hsa-mir-9	Endometrial Neoplasms	-1
hsa-mir-9	Endometrial Neoplasms	-1
hsa-mir-96	Endometrial Neoplasms	-1
hsa-mir-10a	Endometriosis	-1
hsa-mir-141	Endometriosis	-1
hsa-mir-141	Endometriosis	-1
hsa-mir-142	Endometriosis	-1
hsa-mir-196b	Endometriosis	-1
hsa-mir-200a	Endometriosis	-1
hsa-mir-200a	Endometriosis	-1
hsa-mir-200b	Endometriosis	-1
hsa-mir-200b	Endometriosis	-1
hsa-mir-200c	Endometriosis	-1
hsa-mir-203	Endometriosis	-1
hsa-mir-20a	Endometriosis	-1
hsa-mir-34c	Endometriosis	-1
hsa-mir-34c	Endometriosis	-1
hsa-mir-375	Endometriosis	-1
hsa-mir-424	Endometriosis	-1
hsa-mir-429	Endometriosis	-1
hsa-mir-449b	Endometriosis	-1
hsa-mir-504	Endometriosis	-1
hsa-mir-873	Endometriosis	-1
hsa-let-7g	Endotoxemia	-1
hsa-mir-146b	Endotoxemia	-1
hsa-mir-150	Endotoxemia	-1
hsa-mir-342	Endotoxemia	-1
hsa-mir-10a	Ependymoma	-1
hsa-mir-383	Ependymoma	-1
hsa-mir-485	Ependymoma	-1
hsa-mir-182	Epstein-Barr Virus Infections	-1
hsa-mir-183	Epstein-Barr Virus Infections	-1
hsa-mir-96	Epstein-Barr Virus Infections	-1
hsa-let-7b	Esophageal Neoplasms	-1
hsa-let-7c	Esophageal Neoplasms	-1
hsa-let-7c	Esophageal Neoplasms	-1
hsa-mir-100	Esophageal Neoplasms	-1
hsa-mir-125b	Esophageal Neoplasms	-1
hsa-mir-126	Esophageal Neoplasms	-1
hsa-mir-1322	Esophageal Neoplasms	-1
hsa-mir-135b	Esophageal Neoplasms	-1
hsa-mir-141	Esophageal Neoplasms	-1
hsa-mir-143	Esophageal Neoplasms	-1
hsa-mir-145	Esophageal Neoplasms	-1
hsa-mir-145	Esophageal Neoplasms	-1
hsa-mir-203	Esophageal Neoplasms	-1
hsa-mir-205	Esophageal Neoplasms	-1
hsa-mir-21	Esophageal Neoplasms	-1
hsa-mir-223	Esophageal Neoplasms	-1
hsa-mir-27b	Esophageal Neoplasms	-1
hsa-mir-30b	Esophageal Neoplasms	-1
hsa-mir-34a	Esophageal Neoplasms	-1
hsa-mir-375	Esophageal Neoplasms	-1
hsa-mir-454	Esophageal Neoplasms	-1
hsa-mir-486	Esophageal Neoplasms	-1
hsa-mir-518b	Esophageal Neoplasms	-1
hsa-mir-574	Esophageal Neoplasms	-1
hsa-mir-1	Thrombocythemia, Essential	-1
hsa-mir-133a	Thrombocythemia, Essential	-1
hsa-mir-31	Sarcoma, Ewing	-1
hsa-mir-183	Fatty Liver	-1
hsa-mir-122	Non-alcoholic Fatty Liver Disease	-1
hsa-mir-21	Non-alcoholic Fatty Liver Disease	-1
hsa-mir-27	Non-alcoholic Fatty Liver Disease	-1
hsa-mir-451	Non-alcoholic Fatty Liver Disease	-1
hsa-mir-197	Fibromatosis, Aggressive	-1
hsa-mir-143	Fibromyalgia	-1
hsa-mir-145	Fibromyalgia	-1
hsa-mir-21	Fibromyalgia	-1
hsa-mir-223	Fibromyalgia	-1
hsa-mir-338	Fibromyalgia	-1
hsa-mir-451a	Fibromyalgia	-1
hsa-let-7a	Stomach Neoplasms	-1
hsa-let-7a	Stomach Neoplasms	-1
hsa-let-7a	Stomach Neoplasms	-1
hsa-let-7g	Stomach Neoplasms	-1
hsa-mir-124	Stomach Neoplasms	-1
hsa-mir-124	Stomach Neoplasms	-1
hsa-mir-125b	Stomach Neoplasms	-1
hsa-mir-126	Stomach Neoplasms	-1
hsa-mir-129	Stomach Neoplasms	-1
hsa-mir-129	Stomach Neoplasms	-1
