subgraph id = 238
Nreal : 6024
=================================
Full list of 6024 members:

6	8	33	
6	8	147	
6	8	238	
4	11	223	
10	12	58	
10	12	86	
10	12	101	
10	12	168	
10	12	169	
10	12	178	
10	12	207	
10	12	237	
10	12	249	
10	12	255	
10	12	293	
13	14	74	
13	14	99	
13	14	104	
13	14	107	
13	14	302	
13	14	303	
2	15	21	
2	15	50	
2	15	71	
2	15	86	
2	15	91	
2	15	168	
2	15	204	
2	15	205	
2	15	209	
2	15	224	
2	15	225	
2	15	244	
2	15	280	
11	17	18	
11	17	115	
11	17	123	
11	17	171	
11	17	186	
11	17	195	
11	17	223	
11	17	293	
11	18	115	
11	18	123	
11	18	171	
11	18	186	
11	18	195	
11	18	223	
11	18	293	
17	18	40	
17	18	65	
17	18	91	
17	18	94	
17	18	115	
17	18	123	
17	18	131	
17	18	135	
17	18	165	
17	18	171	
17	18	186	
17	18	195	
17	18	223	
17	18	239	
17	18	293	
17	18	297	
2	21	71	
2	21	86	
2	21	91	
2	21	107	
2	21	124	
2	21	166	
2	21	168	
2	21	204	
2	21	224	
4	21	47	
4	21	85	
4	21	86	
4	21	158	
4	21	166	
4	21	180	
4	21	273	
15	21	71	
15	21	80	
15	21	81	
15	21	86	
15	21	91	
15	21	99	
15	21	111	
15	21	137	
15	21	149	
15	21	168	
15	21	178	
15	21	182	
15	21	204	
15	21	224	
15	21	233	
15	21	279	
15	21	293	
15	21	304	
6	23	288	
21	23	25	
21	23	180	
21	23	288	
11	24	113	
11	24	228	
5	25	57	
5	25	58	
5	25	67	
5	25	68	
5	25	72	
5	25	86	
5	25	96	
5	25	99	
5	25	107	
5	25	168	
5	25	205	
5	25	222	
5	25	249	
5	25	253	
5	25	285	
5	25	294	
5	25	297	
12	25	26	
12	25	58	
12	25	86	
12	25	98	
12	25	99	
12	25	168	
12	25	178	
12	25	229	
12	25	249	
12	25	270	
12	25	279	
20	25	86	
20	25	99	
20	25	116	
21	25	26	
21	25	47	
21	25	71	
21	25	74	
21	25	85	
21	25	86	
21	25	91	
21	25	93	
21	25	99	
21	25	107	
21	25	110	
21	25	117	
21	25	121	
21	25	136	
21	25	163	
21	25	168	
21	25	173	
21	25	178	
21	25	204	
21	25	224	
21	25	249	
21	25	279	
21	25	288	
21	25	297	
21	25	303	
21	25	304	
23	25	72	
23	25	145	
23	25	205	
23	25	243	
23	25	278	
23	25	288	
12	26	58	
12	26	99	
12	26	229	
12	26	270	
12	26	279	
21	26	81	
21	26	99	
21	26	121	
21	26	279	
21	26	288	
25	26	58	
25	26	99	
25	26	121	
25	26	229	
25	26	270	
25	26	279	
25	26	288	
25	26	294	
4	28	35	
4	28	50	
4	28	158	
4	28	161	
4	28	180	
4	28	213	
4	28	273	
4	28	282	
9	29	215	
9	29	250	
9	29	262	
9	29	271	
9	29	294	
8	30	89	
8	30	103	
8	30	249	
29	30	42	
29	30	73	
29	30	95	
29	30	125	
29	30	212	
29	30	255	
29	30	266	
6	33	147	
6	33	266	
8	33	147	
8	33	158	
8	33	297	
4	35	50	
4	35	158	
4	35	161	
4	35	166	
4	35	180	
4	35	213	
4	35	282	
28	35	50	
28	35	158	
28	35	161	
28	35	180	
28	35	213	
28	35	282	
5	37	168	
5	37	249	
30	37	168	
30	37	249	
17	40	91	
17	40	115	
17	40	123	
17	40	165	
17	40	186	
17	40	195	
17	40	293	
18	40	91	
