all	coherent	ratio
665	332	0.996996996997
704	365	1.07669616519
681	374	1.21824104235
693	358	1.06865671642
700	342	0.95530726257
702	362	1.06470588235
678	358	1.11875
692	329	0.906336088154
662	349	1.11501597444
719	384	1.14626865672
651	317	0.949101796407
677	343	1.02694610778
704	348	0.977528089888
695	358	1.06231454006
720	369	1.05128205128
726	372	1.05084745763
689	354	1.05671641791
706	357	1.0229226361
698	373	1.14769230769
699	367	1.10542168675
684	352	1.06024096386
704	332	0.89247311828
670	337	1.01201201201
659	324	0.967164179104
665	338	1.03363914373
683	370	1.1821086262
686	342	0.994186046512
666	362	1.19078947368
722	361	1.0
694	380	1.2101910828
682	388	1.31972789116
697	380	1.19873817035
658	345	1.10223642173
671	297	0.794117647059
741	386	1.08732394366
719	344	0.917333333333
674	349	1.07384615385
679	321	0.896648044693
645	341	1.12171052632
644	310	0.928143712575
691	363	1.10670731707
683	340	0.991253644315
694	362	1.09036144578
665	319	0.921965317919
646	341	1.11803278689
679	331	0.951149425287
730	361	0.978319783198
695	346	0.991404011461
654	317	0.940652818991
688	341	0.982708933718
704	369	1.10149253731
708	363	1.05217391304
647	335	1.07371794872
688	348	1.02352941176
668	344	1.06172839506
706	365	1.07038123167
670	319	0.908831908832
710	355	1.0
736	359	0.95225464191
680	338	0.988304093567
643	326	1.02839116719
692	330	0.911602209945
688	353	1.05373134328
722	380	1.11111111111
678	339	1.0
693	360	1.08108108108
683	346	1.02670623145
724	389	1.16119402985
705	360	1.04347826087
690	372	1.16981132075
654	322	0.969879518072
671	333	0.985207100592
735	392	1.14285714286
648	313	0.934328358209
684	356	1.08536585366
723	357	0.975409836066
702	368	1.10179640719
676	340	1.0119047619
735	365	0.986486486486
693	334	0.930362116992
685	340	0.985507246377
674	357	1.1261829653
654	349	1.14426229508
681	358	1.10835913313
702	343	0.955431754875
678	346	1.0421686747
661	317	0.921511627907
698	356	1.04093567251
655	341	1.08598726115
646	332	1.05732484076
699	362	1.07418397626
681	328	0.929178470255
667	356	1.14469453376
688	376	1.20512820513
669	335	1.00299401198
684	346	1.02366863905
696	378	1.18867924528
674	330	0.959302325581
650	341	1.10355987055
681	342	1.00884955752
706	353	1.0
653	335	1.0534591195
721	392	1.1914893617
676	339	1.0059347181
668	336	1.01204819277
691	355	1.05654761905
704	350	0.988700564972
698	333	0.912328767123
662	334	1.01829268293
704	354	1.01142857143
692	352	1.03529411765
698	364	1.08982035928
695	367	1.11890243902
703	360	1.04956268222
681	339	0.991228070175
722	353	0.956639566396
709	358	1.01994301994
747	365	0.955497382199
676	338	1.0
685	346	1.02064896755
737	359	0.949735449735
691	360	1.08761329305
695	337	0.941340782123
666	346	1.08125
713	360	1.01983002833
661	335	1.02760736196
686	357	1.08510638298
690	349	1.02346041056
726	384	1.12280701754
726	349	0.925729442971
736	381	1.07323943662
681	373	1.21103896104
714	337	0.893899204244
648	358	1.23448275862
713	375	1.10946745562
663	341	1.05900621118
665	317	0.91091954023
657	332	1.02153846154
736	384	1.09090909091
633	318	1.00952380952
647	327	1.021875
684	346	1.02366863905
693	356	1.05637982196
716	347	0.940379403794
712	369	1.07580174927
678	332	0.959537572254
659	358	1.18936877076
691	349	1.02046783626
675	349	1.07055214724
662	333	1.01215805471
714	375	1.10619469027
749	386	1.06336088154
673	361	1.15705128205
727	371	1.04213483146
673	332	0.973607038123
715	370	1.07246376812
668	328	0.964705882353
730	380	1.08571428571
665	318	0.916426512968
713	357	1.00280898876
706	355	1.0113960114
671	319	0.90625
635	337	1.13087248322
718	366	1.03977272727
680	364	1.15189873418
682	360	1.11801242236
694	345	0.988538681948
685	346	1.02064896755
697	366	1.10574018127
649	343	1.12091503268
689	370	1.15987460815
698	320	0.846560846561
721	369	1.04829545455
716	387	1.17629179331
717	363	1.02542372881
659	336	1.04024767802
647	344	1.13531353135
651	306	0.886956521739
630	313	0.98738170347
731	388	1.13119533528
695	354	1.03812316716
658	339	1.06269592476
693	346	0.99711815562
718	350	0.951086956522
669	369	1.23
729	375	1.0593220339
673	350	1.08359133127
691	373	1.17295597484
661	343	1.0786163522
711	370	1.08504398827
707	333	0.890374331551
662	341	1.06230529595
690	344	0.994219653179
690	367	1.13622291022
685	340	0.985507246377
711	353	0.986033519553
690	355	1.05970149254
739	351	0.904639175258
676	351	1.08
704	365	1.07669616519
726	359	0.978201634877
730	358	0.962365591398
725	354	0.954177897574
660	324	0.964285714286
652	324	0.987804878049
736	350	0.906735751295
651	316	0.94328358209
705	365	1.07352941176
704	363	1.06451612903
640	306	0.916167664671
680	332	0.954022988506
686	343	1.0
677	349	1.06402439024
709	364	1.05507246377
686	345	1.01173020528
725	368	1.03081232493
698	365	1.0960960961
694	373	1.16199376947
694	349	1.0115942029
680	356	1.0987654321
